,관광지수,종합여행업체수,축제수,음식업체수,문화시설수,숙소수,방문자수
강원특별자치도,111.0,207.0,340.0,3530.0,696.0,254.0,515224854.0
경상남도,101.0,245.0,56.0,4362.0,711.0,166.0,773693564.0
경상북도,60.0,165.0,36.0,4587.0,723.0,144.0,697219163.0
광주광역시,13.0,231.0,20.0,1287.0,192.0,34.0,322580288.0
대구광역시,5.0,253.0,63.0,2628.0,284.0,53.0,539153470.0
대전광역시,15.0,180.0,5.0,1335.0,158.0,39.0,345478572.0
부산광역시,64.0,580.0,56.0,3223.0,413.0,342.0,704849446.0
서울특별시,62.0,6544.0,55.0,5450.0,1634.0,624.0,2266250211.0
세종특별자치시,0.0,39.0,4.0,243.0,40.0,3.0,94677510.0
울산광역시,6.0,98.0,32.0,588.0,156.0,26.0,255222117.0
인천광역시,16.0,314.0,22.0,2567.0,286.0,186.0,664406592.0
전라남도,174.0,191.0,67.0,4574.0,655.0,442.0,493198443.0
전북특별자치도,100.0,205.0,72.0,3806.0,516.0,92.0,467912307.0
제주특별자치도,10.0,585.0,140.0,1125.0,411.0,473.0,267559642.0
충청남도,30.0,109.0,62.0,3823.0,500.0,55.0,561799550.0
충청북도,26.0,144.0,17.0,3150.0,405.0,57.0,408002426.0
경기도,56.0,1532.0,202.0,15200.0,2269.0,313.0,3020738856.0
